ID,Company,Model,Type,Fuel,Transmission,Engine,Mileage,Km_driven,Buyers,Horsepower_kw,Year,Price (Lakhs)
1,Maruti,Alto,Hatchback,Petrol,Manual,796,19.7,45000,2,32.0,2010,1.2
2,Maruti,Wagon R,Hatchback,Petrol,Manual,998,20.5,40005,2,46.0,2011,3.0
3,Maruti,Wagon R,Hatchback,Petrol,Manual,998,20.5,40005,2,46.0,2018,4.0
4,Maruti,Ertiga,MUV,Petrol,Automatic,1462,18.5,28000,2,73.0,2012,5.1
5,Maruti,Ertiga,MUV,Petrol,Automatic,1462,18.5,40000,2,73.0,2012,4.0
6,Maruti,Swift,Hatchback,Petrol,Automatic,1197,23.5,36000,2,61.0,2013,1.58
7,Maruti,Ignis,Hatchback,Petrol,Automatic,1200,20.89,41000,2,60.0,2014,2.5
8,Maruti,Ignis,Hatchback,Petrol,Automatic,1200,20.89,41000,2,60.0,2016,3.0
9,Maruti,Ciaz,Sedan,Petrol,Automatic,1462,20.04,25000,2,67.0,2015,6.1
10,Maruti,Ciaz,Sedan,Petrol,Automatic,1462,20.04,15000,2,67.0,2015,5.0
11,Maruti,Baleno,Hatchback,Petrol,Automatic,1197,19.56,24530,2,61.0,2016,2.3
12, Tata,Altroz,Hatchback,Diesel,Manual,1497,25.11,60000,2,72.0,2017,2.8
13, Tata,Altroz,Hatchback,Diesel,Manual,1497,25.11,40000,2,72.0,2015,3.4
14, Tata,Nexon,SUV,Diesel,Automatic,1199,21.5,60000,2,88.0,2018,5.02
15, Tata,Tiago,Hatchback,Petrol,Automatic,1199,23.84,30000,2,62.0,2019,3.12
16, Tata,Tiago,Hatchback,Petrol,Automatic,1199,23.84,50000,2,62.0,2019,3.8
17, Tata,Harrier,SUV,Diesel,Automatic,1956,17.0,32000,2,123.0,2012,9.35
18, Tata,Harrier,SUV,Diesel,Automatic,1956,17.0,20000,2,123.0,2016,6.7
19, Tata,Tigor,Sedan,Petrol,Automatic,1199,20.3,48660,2,62.0,2006,2.87
20, Tata,Safari,SUV,Diesel,Automatic,1956,14.08,45000,2,123.0,2007,10.0
21, Tata,Safari,SUV,Diesel,Automatic,1956,14.08,10000,2,123.0,2019,4.7
22, Tata,Nano,Hatchback,Diesel,Manual,624,33.0,30540,2,27.0,2006,0.8
23, Mahindra,Thar,SUV,Diesel,Manual,2184,16.55,4000,2,105.0,2015,8.24
24, Mahindra,Bolero,SUV,Diesel,Manual,1493,16.7,16934,2,65.0,2013,4.7
25, Mahindra,Bolero,SUV,Diesel,Manual,1493,16.7,5000,2,65.0,2013,8.1
26, Mahindra,Scorpio,SUV,Diesel,Manual,2179,15.0,43000,2,95.0,2014,5.29
27, Mahindra,Scorpio,SUV,Diesel,Manual,2179,15.0,43000,2,95.0,2012,6.54
28, Mahindra,XUV300,SUV,Diesel,Automatic,1197,20.0,35550,2,84.0,2015,3.8
29, Mahindra,XUV500,SUV,Diesel,Automatic,2189,15.1,43000,2,113.0,2009,7.5
30, Mahindra,XUV500,SUV,Diesel,Automatic,2189,15.1,40000,2,113.0,2009,3.32
31, Honda,Amaze,Sedan,Diesel,Automatic,1498,24.7,39522,2,64.0,2008,4.1
32, Honda,Amaze,Sedan,Diesel,Automatic,1498,24.7,39522,2,64.0,2016,4.5
33, Honda,City,Sedan,Diesel,Manual,1498,24.1,39000,2,81.0,2018,6.45
34, Honda,WR-V,SUV,Diesel,Manual,1199,23.7,55000,2,70.0,2005,4.9
35, Honda,Jazz,Hatchback,Petrol,Automatic,1199,17.1,55000,2,65.0,2020,5.8
36, Honda,Jazz,Hatchback,Petrol,Automatic,1199,17.1,25000,2,65.0,2020,5.0
37,Hyundai,Creta,SUV,Diesel,Automatic,1497,21.0,55000,2,102.0,2008,5.2
38,Hyundai,Verna,Sedan,Diesel,Automatic,1497,25.0,72000,2,112.0,2010,6.31
39,Hyundai,Verna,Sedan,Diesel,Automatic,1497,25.0,72000,2,112.0,2009,3.605
40,Hyundai,i10,Hatchback,Diesel,Automatic,1197,24.9,15975,2,81.0,2011,1.9
41,Hyundai,i10,Hatchback,Diesel,Automatic,1197,24.9,28000,2,81.0,2011,5.67
42,Hyundai,i20,Hatchback,Diesel,Automatic,1197,25.2,70000,2,74.0,2012,3.66
43,Hyundai,Alcazar,SUV,Diesel,Automatic,1999,20.4,23452,2,84.0,2013,8.2
44,Hyundai,Santro,Hatchback,Petrol,Automatic,1086,20.3,35522,2,47.0,2014,2.33
45,Hyundai,Aura,Sedan,Diesel,Automatic,1197,25.4,48508,2,62.0,2015,1.67
46,Hyundai,Aura,Sedan,Diesel,Automatic,1197,25.4,48508,2,62.0,2018,4.0
47,Hyundai,Elantra,Sedan,Petrol,Automatic,1999,14.62,15487,2,98.0,2016,12.93
48, Renault,Duster,SUV,Petrol,Automatic,1498,16.5,39000,2,97.0,2017,5.93
49, Renault,Kwid,Hatchback,Petrol,Automatic,799,25.0,39000,2,45.0,2018,1.56
50, Renault,Kwid,Hatchback,Petrol,Automatic,799,25.0,35000,2,45.0,2018,1.89
51, Renault,Triber,MUV,Petrol,Automatic,999,19.0,82000,2,52.0,2009,2.12
52, Renault,Triber,MUV,Petrol,Automatic,999,19.0,82000,2,52.0,2017,3.72
53, Renault,Kiger,SUV,Petrol,Automatic,999,20.0,20000,2,63.0,2020,2.29
54,Ferrari,812,Convertible,Petrol,Automatic,6496,6.7,68000,2,584.0,2018,190.0
55,Ferrari,Portofino,Convertible,Petrol,Automatic,3855,9.0,32000,2,440.0,2016,120.0
56,Ferrari,Roma,Coupe,Petrol,Automatic,3855,8.93,32000,3,454.0,2019,100.0
57,Ferrari,Roma,Coupe,Petrol,Automatic,3855,8.93,38000,3,454.0,2017,106.0
